size_bucket,transfer_count,bucket_volume
<0.01,2247,4.292895338120205005000000000000000000
0.01-0.1,1705,71.18270061799082839700
0.1-1,3746,1723.88525661013432818800
1-10,9829,44034.65621981596306646700
10-100,28426,1217534.2854467798340998
100-1000,26458,10246250.7627932748111772
1000-10000,24471,91655936.8914877881350168
10000-100000,25032,1078597187.9865008463692841
100000-1000000,19124,6840752614.406149773553
1000000-10000000,4916,12987429779.031478756112
>=10000000,416,8278493200.016612373423
